"","SYMBOL","GR.response.to.iNKT","VIP","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"57","EBP"," -0.0044",0.8333,85.953788,109.114997,76.885034,87.306658
"58","EEF1A2"," -0.0054",1.1435,18.804414,11.012688,3.121718,2.031553
"59","EFEMP2"," -0.0040",0.9343,26.543574,16.577613,15.255362,10.818338
"60","ENKD1"," -0.0047",1.1604,23.326786,21.811928,14.092612,7.285751
"61","EPHA4","0.0061",1.0242,9.811099,13.083376,23.087041,15.568094
"62","EPS8L1"," -0.0030",0.9332,26.839754,22.348504,20.482937,6.894102
"63","ERVW-1","0.0064",1.2004,5.056524,4.25848,14.786467,11.101896
"64","EXD3"," -0.0053",1.2174,37.922624,37.772781,22.891621,16.52253
"65","F11R"," -0.0020",0.8035,21.825367,24.976894,22.31298,9.331155
"66","FADS2","0.0044",1.1252,22.162034,23.677228,36.661594,51.563121
"67","FAM111B"," -0.0053",1.2127,6.145559,6.456605,5.199194,4.835486
"68","FAM229A","0.0057",0.9616,24.740344,20.936342,33.614784,25.841309
"69","FBXL16"," -0.0042",1.0974,31.266039,36.709801,24.873705,15.403829
"70","FBXO6","0.0059",1.246,5.793503,4.244566,14.111092,14.039749
"71","FER1L4"," -0.0055",1.2328,17.031091,19.347456,5.808171,2.987419
"72","FXYD7"," -0.0051",1.1987,109.524953,128.991736,53.59805,24.621691
"73","GGA2","0.0055",0.8373,233.506321,216.446897,410.854877,240.455348
"74","GGH"," -0.0038",1.0526,7.51566,7.91259,6.607522,4.754354
"75","GKAP1"," -0.0035",1.0014,15.233442,13.454827,11.453373,4.991265
"76","GSTP1","0.0048",1.163,83.434521,56.94346,126.696536,158.590394
"77","GTF2IRD2B","0.0056",1.2372,4.187332,1.907473,17.625603,20.639032
"78","GTF3C6","0.0026",0.8717,15.973923,23.755367,24.28089,47.025645
"79","GZMH","0.0061",1.0388,52.881604,32.695434,254.54267,113.216165
"80","HES7"," -0.0058",1.2467,19.292249,21.474933,2.281984,0.214545
"81","HOPX","0.0049",1.1837,107.023874,105.91606,152.41749,182.94701
"82","HSD17B8"," -0.0055",1.204,72.427725,55.68581,22.943792,14.630716
"83","ICAM5"," -0.0058",1.2487,16.455388,18.231125,1.566123,0.194535
"84","IFI30"," -0.0047",1.0409,16.291903,22.62453,13.179649,12.385605
"85","IFI35","0.0054",1.2191,17.966831,22.317198,42.838919,50.893595
"86","IFNG"," -0.0058",1.2506,31.107751,30.379252,11.836763,9.81864
"87","IFT43"," -0.0055",1.2236,32.686956,28.989252,15.119206,10.78804
"88","IL13"," -0.0039",0.8543,2.629761,7.028442,1.939335,1.991856
"89","IL27RA","0.0044",1.1223,8.929853,11.521034,29.416661,50.603406
"90","ISYNA1"," -0.0050",1.1817,31.805363,27.286015,16.237807,8.928164
"91","JMJD7-PLA2G4B","0.0057",0.9416,23.580339,17.376797,39.669873,25.148095
"92","KCNAB3"," -0.0040",1.0768,18.048854,17.556082,13.167617,6.192653
"93","KIAA0319L","0.005",1.0721,65.126542,102.578089,124.690811,131.492688
"94","KRT8","0.0044",0.9389,3.019077,12.101966,14.050645,15.76012
"95","LDLR","0.0036",1.0252,6.961395,7.70662,10.865646,18.148181
"96","LGALS9","0.0061",1.2542,3.702484,3.521635,19.425664,18.600264
"97","LIF","0.0036",0.9201,1.645528,4.370177,4.534749,6.624388
"98","LIME1","0.0051",1.193,20.72228,34.124038,99.322037,139.724702
"99","LMNB1","0.0032",0.9527,36.85019,50.118888,53.977269,80.331375
"100","LMTK3"," -0.0041",1.0667,26.750071,20.292581,14.792659,3.995078
"101","LPAR5","0.005",1.185,6.194506,8.987547,17.098295,22.424599
"102","LZTFL1"," -0.0057",1.2381,21.151642,23.429192,11.955059,10.89402
"103","MAD2L1"," -0.0064",1.1518,24.521856,23.317986,12.965656,18.163769
"104","MAP1LC3A","0.0049",1.1544,1.667791,3.385239,5.803961,7.70116
