"","Gene","SYMBOL","ENTREZID","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"10740","ENSG00000162736","NCSTN","23385",39.215145,47.92818,64.227377,76.770279
"10742","ENSG00000162739","SLAMF6","114836",62.811513,90.495521,76.543299,101.927622
"10744","ENSG00000162746","FCRLB","127943",1.076935,1.29015,0.846701,0.877261
"10747","ENSG00000162755","KLHDC9","126823",4.170948,1.949237,2.355879,0.143922
"10748","ENSG00000162757","C1orf74","148304",2.930909,2.702143,1.306574,0.531373
"10751","ENSG00000162769","FLVCR1","28982",13.233565,11.260678,12.162035,9.974983
"10752","ENSG00000162771","GARIN4","149647",0.134009,0.069978,0.042129,0.074169
"10753","ENSG00000162772","ATF3","467",17.077498,12.727226,11.001141,6.077145
"10754","ENSG00000162775","RBM15","64783",16.960295,15.415582,22.616114,18.010555
"10755","ENSG00000162777","DENND2D","79961",66.59125,89.693464,140.115323,148.908847
"10758","ENSG00000162783","IER5","51278",41.837867,35.312465,46.929135,40.213664
"10759","ENSG00000162804","SNED1","25992",1.977379,11.063386,5.850154,15.595571
"10760","ENSG00000162813","BPNT1","10380",19.930904,22.146075,18.635326,19.905561
"10762","ENSG00000162817","C1orf115","79762",0.08698,0.022698,0.082047,0.120257
"10763","ENSG00000162819","BROX","148362",30.412073,43.014837,46.278302,49.953229
"10764","ENSG00000162825","NBPF20","100288142",17.915935,11.096248,17.811285,8.823965
"10765","ENSG00000162836","ACP6","51205",37.215526,23.770082,44.139984,24.086461
"10768","ENSG00000162851","TFB2M","64216",7.114468,6.937883,4.282889,6.351859
"10769","ENSG00000162852","CNST","163882",19.379532,22.255637,21.24897,25.737884
"10770","ENSG00000162869","PPP1R21","129285",23.889433,31.053874,31.284131,34.692385
"10772","ENSG00000162877","PM20D1","148811",1.001984,1.395607,0.093569,0.247165
"10773","ENSG00000162878","PKDCC","91461",0.67384,0.055449,0.066687,0
"10776","ENSG00000162885","B3GALNT2","148789",20.512409,20.720311,12.964198,6.874391
"10777","ENSG00000162889","MAPKAPK2","9261",157.444334,198.990019,162.488535,154.162625
"10779","ENSG00000162892","IL24","11009",0.201149,1.354582,1.194486,0.299465
"10780","ENSG00000162894","FCMR","9214",81.974239,108.279554,154.893688,221.293101
"10781","ENSG00000162896","PIGR","5284",0.119451,0.160278,0.22193,0.225868
"10783","ENSG00000162909","CAPN2","824",99.137324,126.755126,235.277124,248.166504
"10784","ENSG00000162910","MRPL55","128308",81.117081,72.296164,74.726353,50.198803
"10785","ENSG00000162923","WDR26","80232",103.043881,135.581654,119.873749,118.437987
"10786","ENSG00000162924","REL","5966",25.617256,27.113644,35.048159,23.791539
"10787","ENSG00000162927","PUS10","150962",4.28924,5.779571,5.466805,8.153217
"10788","ENSG00000162928","PEX13","5194",13.48211,11.050882,16.873888,10.32277
"10789","ENSG00000162929","SANBR","84542",6.365013,5.517338,6.448847,7.358152
"10790","ENSG00000162931","TRIM17","51127",1.480572,1.533678,1.058916,1.383265
"10791","ENSG00000162944","RFTN2","130132",0.073938,0.099204,0.108509,0.273194
"10792","ENSG00000162946","DISC1","27185",3.835999,4.560763,2.86697,1.985338
"10795","ENSG00000162959","MEMO1","51072",55.182198,55.061966,39.479944,45.001549
"10796","ENSG00000162961","DPY30","84661",55.050229,51.614612,58.188006,60.235246
"10797","ENSG00000162971","TYW5","129450",8.570731,9.157106,8.538899,8.462205
"10798","ENSG00000162972","MAIP1","79568",7.404565,7.339372,3.588688,10.55159
"10800","ENSG00000162976","SLC66A3","130814",31.035118,27.523889,36.155795,37.134505
"10801","ENSG00000162980","ARL5A","26225",33.779939,35.203729,34.694383,27.623221
"10803","ENSG00000162989","KCNJ3","3760",0.016089,0,0.020237,0.017789
"10805","ENSG00000162994","CLHC1","130162",13.572315,15.092379,20.462292,12.710961
"10806","ENSG00000162997","PRORSD1P","344405",1.265856,1.66219,3.047089,3.709991
"10808","ENSG00000162999","DUSP19","142679",0.371269,0.233577,0.246371,0.577484
"10809","ENSG00000163001","CFAP36","112942",53.299975,36.234606,46.870711,27.556827
"10810","ENSG00000163002","NUP35","129401",4.901279,7.251876,5.176888,6.977521
"10811","ENSG00000163006","CCDC138","165055",5.153253,6.026786,5.647162,4.005254
"10813","ENSG00000163013","FBXO41","150726",6.682132,11.481748,4.79633,5.928843
"10816","ENSG00000163026","WDCP","80304",7.82684,6.84063,6.423354,6.267905
"10817","ENSG00000163029","SMC6","79677",37.285493,48.624335,43.282719,47.014538
"10818","ENSG00000163032","VSNL1","7447",1.347832,0.946885,0.844402,0.046471
"10819","ENSG00000163040","CCDC74A","90557",30.216472,24.957071,29.656486,9.232251
"10820","ENSG00000163041","H3-3A","3020",585.399032,696.966162,584.008741,702.082337
"10822","ENSG00000163050","COQ8A","56997",31.901033,31.221736,34.313417,37.774839
"10823","ENSG00000163053","SLC16A14","151473",1.004491,0.172966,1.507542,0.907652
"10824","ENSG00000163060","TEKT4","150483",0.596615,0.748893,0.661968,0.893368
"10826","ENSG00000163069","SGCB","6443",6.569938,7.163835,6.403094,5.964966
"10827","ENSG00000163071","SPATA18","132671",0.053631,0.027997,0,0.867251
"10831","ENSG00000163082","SGPP2","130367",0.312041,2.070684,0.280326,0.542376
"10834","ENSG00000163093","BBS5","129880",6.259792,4.555968,6.182896,4.034996
"10836","ENSG00000163104","SMARCAD1","56916",15.751579,21.755252,18.295584,22.980086
"10837","ENSG00000163106","HPGDS","27306",0.298444,0.779795,1.000558,2.487801
"10838","ENSG00000163110","PDLIM5","10611",19.502011,18.835722,13.105989,14.654285
"10841","ENSG00000163121","NEURL3","93082",0.386991,0.091533,0.665528,0.319323
"10842","ENSG00000163125","RPRD2","23248",14.013383,19.135412,21.799374,22.659029
"10843","ENSG00000163126","ANKRD23","200539",19.712565,21.419323,28.2829,18.080511
"10844","ENSG00000163131","CTSS","1520",61.437355,76.920701,140.359218,154.977593
"10845","ENSG00000163132","MSX1","4487",0.611804,0.042611,0.102569,0.090339
"10846","ENSG00000163138","PACRGL","133015",5.503071,5.232123,8.879141,9.373212
"10847","ENSG00000163141","BNIPL","149428",2.171477,0.613653,4.184021,3.61267
"10849","ENSG00000163154","TNFAIP8L2","79626",26.799329,35.595803,41.0718,65.025771
"10850","ENSG00000163155","LYSMD1","388695",1.274011,1.322128,0.466004,0.55629
"10852","ENSG00000163157","TMOD4","29765",0.228616,0.391301,3.032289,1.525034
"10853","ENSG00000163159","VPS72","6944",41.63295,38.181356,33.866272,46.464599
"10854","ENSG00000163161","ERCC3","2071",27.172925,34.121237,50.783541,51.465156
"10855","ENSG00000163162","RNF149","284996",116.685632,104.744915,154.624663,114.27535
"10856","ENSG00000163166","IWS1","55677",33.429321,39.806128,32.302051,40.044647
"10857","ENSG00000163170","BOLA3","388962",22.881896,16.726612,15.216621,21.661031
"10858","ENSG00000163171","CDC42EP3","10602",75.799844,75.217633,70.970062,100.42167
"10859","ENSG00000163191","S100A11","6282",321.513274,610.706924,548.954645,913.785328
"10864","ENSG00000163214","DHX57","90957",8.702614,6.986608,7.398583,6.625778
"10868","ENSG00000163219","ARHGAP25","9938",91.241091,123.17197,124.935011,172.973826
"10869","ENSG00000163220","S100A9","6280",1.067778,0,0.267594,1.435067
"10871","ENSG00000163235","TGFA","7039",0.321746,1.041075,1.490973,1.964344
"10873","ENSG00000163249","CCNYL1","151195",10.149165,7.506044,5.43066,7.40131
"10874","ENSG00000163251","FZD5","7855",0.78739,0.688276,0.240925,0.035281
"10876","ENSG00000163257","DCAF16","54876",33.673384,40.020098,49.670774,40.405267
"10879","ENSG00000163281","GNPDA2","132789",11.5353,12.711012,12.861035,14.283326
"10884","ENSG00000163291","PAQR3","152559",9.402769,9.104211,6.361376,7.563719
"10885","ENSG00000163293","NIPAL1","152519",0.01361,0.056807,0.119199,0.709744
"10887","ENSG00000163297","ANTXR2","118429",114.303841,129.465965,112.900947,140.256713
"10888","ENSG00000163312","HELQ","113510",15.672942,15.392316,16.363517,14.89953
"10889","ENSG00000163319","MRPS18C","51023",19.42816,23.899829,18.573416,21.555043
"10890","ENSG00000163320","CGGBP1","8545",97.112969,149.976458,130.142931,160.634858
"10891","ENSG00000163322","ABRAXAS1","84142",22.034062,17.89577,18.56171,16.65263
"10892","ENSG00000163328","GPR155","151556",22.64568,26.967119,19.499763,16.188885
"10894","ENSG00000163344","PMVK","10654",28.225771,28.184219,22.326131,29.076899
"10895","ENSG00000163346","PBXIP1","57326",315.740505,362.861682,517.400559,575.194927
"10896","ENSG00000163347","CLDN1","9076",0.106433,1.02208,2.222134,1.389069
"10897","ENSG00000163348","PYGO2","90780",61.235412,68.902776,54.684404,47.663712
"10898","ENSG00000163349","HIPK1","204851",38.657552,48.201709,35.791322,29.520813
"10900","ENSG00000163354","DCST2","127579",5.119665,3.061228,1.72746,0.519523
"10902","ENSG00000163359","COL6A3","1293",0.035213,0.044831,0.013337,0
"10903","ENSG00000163362","INAVA","55765",4.245367,3.146818,1.395777,2.125281
"10904","ENSG00000163374","YY1AP1","55249",58.277524,66.416456,73.477719,86.127384
"10905","ENSG00000163376","KBTBD8","84541",6.329975,5.482622,6.881093,2.367606
"10907","ENSG00000163378","EOGT","285203",4.310218,6.926424,10.28274,13.942769
"10908","ENSG00000163380","LMOD3","56203",0.143996,0.169168,0.135837,0.119518
"10909","ENSG00000163382","NAXE","128240",58.741294,36.166732,35.630982,37.980852
"10910","ENSG00000163389","POGLUT1","56983",26.81068,31.932602,30.843596,22.896404
"10911","ENSG00000163393","SLC22A15","55356",0.692044,0.256771,5.08491,1.995509
