"","Gene","SYMBOL","ENTREZID","DysiNKTD1_KKU213C","DysiNKTD2_KKU213C","DysiNKTD2_SSP25","iNKTD2_D131"
"2934","ENSG00000104679","R3HCC1","203069",27.393116,28.907675,22.639898,21.516395
"2935","ENSG00000104687","GSR","2936",28.44918,18.641273,32.162489,28.106356
"2936","ENSG00000104689","TNFRSF10A","8797",6.673323,8.032658,19.834303,16.740507
"2937","ENSG00000104691","UBXN8","7993",8.578312,11.501591,6.86678,12.903307
"2938","ENSG00000104695","PPP2CB","5516",22.626777,27.056063,27.307908,24.542797
"2941","ENSG00000104723","TUSC3","7991",0,0.162429,2.69555,4.556728
"2943","ENSG00000104731","KLHDC4","54758",152.240453,109.270868,214.247797,80.177874
"2944","ENSG00000104738","MCM4","4173",27.002273,30.035119,12.849177,27.028679
"2945","ENSG00000104756","KCTD9","54793",63.017314,48.862632,41.544026,56.492347
"2947","ENSG00000104763","ASAH1","427",41.304674,34.848296,43.997299,48.381203
"2948","ENSG00000104765","BNIP3L","665",44.414847,37.797368,40.209891,62.379139
"2949","ENSG00000104774","MAN2B1","4125",118.266725,102.558419,121.260968,102.405089
"2950","ENSG00000104783","KCNN4","3783",20.965174,35.322555,35.431781,31.369133
"2952","ENSG00000104805","NUCB1","4924",203.060292,195.058129,136.603388,168.105366
"2953","ENSG00000104808","DHDH","27294",0.696231,0.35149,0.461935,1.298048
"2954","ENSG00000104812","GYS1","2997",45.931446,40.050574,51.143368,57.308894
"2955","ENSG00000104814","MAP4K1","11184",284.113059,332.10174,285.971821,246.718549
"2957","ENSG00000104823","ECH1","1891",107.832243,143.037244,157.316034,131.737505
"2958","ENSG00000104824","HNRNPL","3191",287.901247,298.534091,273.921844,288.536093
"2959","ENSG00000104825","NFKBIB","4793",50.923157,50.735286,37.663455,44.068141
"2960","ENSG00000104826","LHB","3972",3.319621,2.396744,8.050453,4.664021
"2961","ENSG00000104827","CGB3","1082",1.665688,0.122944,0.858071,0
"2962","ENSG00000104833","TUBB4A","10382",5.075314,2.162371,3.368183,3.953878
"2963","ENSG00000104835","SARS2","54938",27.392087,28.920441,33.5896,20.850025
"2964","ENSG00000104848","KCNA7","3743",0.14685,0.644926,0.288537,0.584724
"2965","ENSG00000104852","SNRNP70","6625",350.19392,287.610384,408.80025,432.182345
"2966","ENSG00000104853","CLPTM1","1209",63.857279,78.711773,48.999067,65.916055
"2967","ENSG00000104856","RELB","5971",11.00748,21.433505,16.976405,20.066238
"2968","ENSG00000104859","CLASRP","11129",109.784222,94.625955,148.407671,178.524605
"2969","ENSG00000104863","LIN7B","64130",18.255559,14.716105,16.054385,27.422387
"2970","ENSG00000104866","PPP1R37","284352",18.30937,18.147676,27.831182,25.038308
"2971","ENSG00000104870","FCGRT","2217",2.155127,1.872202,3.92243,13.19513
"2972","ENSG00000104872","PIH1D1","55011",135.624978,124.626944,145.160328,161.802305
"2974","ENSG00000104880","ARHGEF18","23370",18.141379,21.026628,19.651052,17.307961
"2975","ENSG00000104881","PPP1R13L","10848",17.275554,6.954407,20.881178,26.173754
"2976","ENSG00000104883","PEX11G","92960",1.040142,0.283739,1.124462,1.992802
"2977","ENSG00000104884","ERCC2","2068",22.930112,16.24636,18.358549,24.809973
"2978","ENSG00000104885","DOT1L","84444",21.612808,16.042737,20.115588,30.866945
"2979","ENSG00000104886","PLEKHJ1","55111",71.417123,59.489987,68.656832,70.478713
"2980","ENSG00000104888","SLC17A7","57030",0.528616,0.060068,0.546654,0.980968
"2981","ENSG00000104889","RNASEH2A","10535",10.336639,9.908843,8.872032,13.910032
"2982","ENSG00000104892","KLC3","147700",0.67575,0.162418,3.74233,1.165712
"2983","ENSG00000104894","CD37","951",464.144524,500.965215,468.125481,505.175221
"2984","ENSG00000104897","SF3A2","8175",151.222489,161.931157,158.153182,135.265236
"2985","ENSG00000104899","AMH","268",2.274623,0.305309,0.568693,2.576804
"2987","ENSG00000104903","LYL1","4066",6.770057,6.565193,11.998207,8.59202
"2988","ENSG00000104904","OAZ1","4946",1428.786636,1485.452939,1256.654313,1570.854092
"2989","ENSG00000104907","TRMT1","55621",27.56171,22.51036,18.496265,31.009263
"2990","ENSG00000104915","STX10","8677",69.691819,73.2302,91.624304,91.598732
"2993","ENSG00000104936","DMPK","1760",12.936124,13.323718,32.968274,18.416961
"2995","ENSG00000104941","RSPH6A","81492",0.156958,0.069068,0,0.045368
"2996","ENSG00000104946","TBC1D17","79735",61.855557,68.336396,62.538364,67.062378
"2997","ENSG00000104951","IL4I1","259307",0.590789,1.970841,13.721877,5.057811
"2998","ENSG00000104953","TLE6","79816",0.159145,0.081734,0,2.331173
"2999","ENSG00000104957","YJU2B","81576",99.784239,103.993725,103.267354,109.758861
"3000","ENSG00000104960","PTOV1","53635",101.933135,78.981406,130.017754,157.051745
"3001","ENSG00000104964","TLE5","166",944.362707,1145.422371,768.833576,764.070472
"3003","ENSG00000104969","SGTA","6449",42.215465,37.341432,42.071772,39.403542
"3006","ENSG00000104973","MED25","81857",47.675358,47.420918,47.823296,50.582613
"3008","ENSG00000104976","SNAPC2","6618",28.071668,19.712593,31.387368,26.953636
"3009","ENSG00000104979","C19orf53","28974",143.56065,145.513559,90.421781,101.039685
"3010","ENSG00000104980","TIMM44","10469",39.909263,39.915549,27.577283,42.769385
"3011","ENSG00000104983","CCDC61","729440",19.378316,18.09001,17.414696,33.267144
"3012","ENSG00000104998","IL27RA","9466",29.416661,50.603406,29.763782,31.777738
"3013","ENSG00000105011","ASF1B","55723",12.484674,12.765079,10.210084,15.899631
"3014","ENSG00000105048","TNNT1","7138",0.680873,0.9917,1.299843,14.282659
"3015","ENSG00000105053","VRK3","51231",48.122692,53.085963,43.876987,49.888422
"3016","ENSG00000105058","FAM32A","26017",76.120987,91.821086,74.212595,84.968305
"3017","ENSG00000105063","PPP6R1","22870",163.618267,143.281317,167.723423,142.016668
"3018","ENSG00000105072","C19orf44","84167",1.848075,1.513787,1.066286,1.700523
"3019","ENSG00000105085","MED26","9441",8.17174,6.75111,11.373768,8.908385
"3020","ENSG00000105088","OLFM2","93145",12.836878,15.236917,38.636369,6.003745
"3021","ENSG00000105122","RASAL3","64926",468.934225,470.21631,502.916363,368.053761
"3022","ENSG00000105127","AKAP8","10270",33.542106,40.976227,32.186128,34.854844
"3024","ENSG00000105135","ILVBL","10994",24.129363,19.844421,21.364329,30.392534
"3025","ENSG00000105136","ZNF419","79744",22.385546,21.129859,23.033711,20.970528
"3029","ENSG00000105146","AURKC","6795",1.773003,0.292724,2.414679,0.730239
"3030","ENSG00000105171","POP4","10775",76.780544,106.392244,82.919658,66.550119
"3031","ENSG00000105173","CCNE1","898",1.48446,1.180421,6.306645,4.776705
"3032","ENSG00000105176","URI1","8725",44.619259,55.375121,56.206008,51.472023
"3033","ENSG00000105185","PDCD5","9141",53.166711,55.290986,56.833169,63.563321
"3034","ENSG00000105186","ANKRD27","84079",20.061068,18.495876,29.726181,22.873034
"3035","ENSG00000105193","RPS16","6217",2830.471298,1766.17793,1842.230769,1920.531802
"3036","ENSG00000105197","TIMM50","92609",23.984127,24.232857,25.312822,38.310083
"3038","ENSG00000105202","FBL","2091",109.500376,125.715768,129.57351,136.815333
"3039","ENSG00000105204","DYRK1B","9149",27.088262,36.505077,16.260467,25.287001
"3041","ENSG00000105219","CCNP","79935",0.224525,0.149391,0.048902,1.113819
"3043","ENSG00000105221","AKT2","208",121.684622,123.153348,120.22093,126.742919
"3044","ENSG00000105223","PLD3","23646",116.962117,129.14073,135.836457,152.52797
"3045","ENSG00000105227","PRX","57716",1.512359,0.982675,3.107519,1.559953
"3046","ENSG00000105229","PIAS4","51588",16.565802,19.148091,26.739717,29.941619
"3047","ENSG00000105245","NUMBL","9253",9.556557,8.977599,16.462634,14.235677
"3048","ENSG00000105246","EBI3","10148",0.694331,0.573376,0.1619,4.758304
"3049","ENSG00000105248","YJU2","55702",17.652538,29.459301,9.978444,15.670984
"3051","ENSG00000105254","TBCB","1155",131.148103,186.834839,138.624047,138.803742
"3052","ENSG00000105255","FSD1","79187",3.818488,1.554953,7.149078,12.868272
"3053","ENSG00000105258","POLR2I","5438",42.599236,42.136536,39.913626,32.06215
"3055","ENSG00000105270","CLIP3","25999",1.608146,6.07348,4.464424,6.693523
"3056","ENSG00000105278","ZFR2","23217",0.85229,0.558598,2.704575,2.031491
"3057","ENSG00000105281","SLC1A5","6510",41.627991,35.319798,43.767507,52.2059
"3058","ENSG00000105287","PRKD2","25865",93.753064,74.341484,102.196308,75.148819
"3059","ENSG00000105289","TJP3","27134",0.283392,0.351086,4.176163,2.427415
"3060","ENSG00000105290","APLP1","333",1.59721,0.25903,9.575029,13.138762
"3061","ENSG00000105298","CACTIN","58509",23.000022,26.96665,30.520761,30.790673
"3062","ENSG00000105321","CCDC9","26093",15.198985,16.499844,25.869173,24.631051
"3063","ENSG00000105323","HNRNPUL1","11100",445.219955,415.926354,307.542866,281.673055
"3064","ENSG00000105325","FZR1","51343",69.987146,54.066605,73.092365,64.469344
"3065","ENSG00000105327","BBC3","27113",59.458395,39.652191,100.477902,73.020267
"3066","ENSG00000105329","TGFB1","7040",504.917067,485.401515,430.219862,302.959094
"3067","ENSG00000105339","DENND3","22898",125.258881,63.532636,181.784,116.962387
"3068","ENSG00000105341","DMAC2","55101",25.208141,34.100124,28.033892,28.628427
"3070","ENSG00000105355","PLIN3","10226",21.110284,27.283232,23.030765,31.438327
"3072","ENSG00000105364","MRPL4","51073",25.712895,28.869494,31.15878,32.364672
"3073","ENSG00000105366","SIGLEC8","27181",0.096178,0,0.110312,0.13781
"3074","ENSG00000105369","CD79A","973",0.60268,1.443997,1.725474,1.035762
"3075","ENSG00000105370","LIM2","3982",6.772455,1.052614,1.71585,2.743214
"3076","ENSG00000105371","ICAM4","3386",1.722885,3.658569,2.499839,7.383175
"3077","ENSG00000105372","RPS19","6223",7117.100553,4877.4984,7624.63674,4915.037006
"3078","ENSG00000105373","NOP53","29997",538.25932,474.978302,369.882975,446.803692
"3079","ENSG00000105374","NKG7","4818",616.528121,513.495482,334.239368,294.714902
"3080","ENSG00000105376","ICAM5","7087",1.566123,0.194535,7.014933,7.264146
"3081","ENSG00000105379","ETFB","2109",95.365259,101.763003,152.578598,133.218757
"3082","ENSG00000105383","CD33","945",4.75406,1.403796,4.722091,2.253527
"3084","ENSG00000105392","CRX","1406",1.36403,0.979498,1.849752,1.04478
"3085","ENSG00000105393","BABAM1","29086",74.277219,97.981913,71.028162,83.913716
"3086","ENSG00000105397","TYK2","7297",281.046458,334.334989,242.634625,212.414113
"3088","ENSG00000105401","CDC37","11140",272.038094,225.633799,343.100799,306.640848
"3089","ENSG00000105402","NAPA","8775",111.14547,120.488611,115.293728,107.012188
"3090","ENSG00000105404","RABAC1","10567",319.337841,238.63613,286.808079,254.952669
"3091","ENSG00000105409","ATP1A3","478",6.467927,4.082593,3.539215,5.649704
"3092","ENSG00000105419","MEIS3","56917",1.661264,0,6.058755,7.795768
"3093","ENSG00000105426","PTPRS","5802",0.163446,0.157914,1.267987,2.709514
"3094","ENSG00000105427","CNFN","84518",3.209436,0.576193,1.187511,0
"3096","ENSG00000105429","MEGF8","1954",9.710358,7.376121,10.472847,12.504367
"3097","ENSG00000105438","KDELR1","10945",83.954204,87.6238,109.88458,83.726034
"3098","ENSG00000105443","CYTH2","9266",34.660368,42.963718,52.510024,47.61896
"3099","ENSG00000105447","GRWD1","83743",5.605375,10.373174,10.879358,9.814114
"3100","ENSG00000105464","GRIN2D","2906",0,0.01569,0.489784,1.127859
"3102","ENSG00000105472","CLEC11A","6320",0.296763,0.45808,1.353709,0.483556
"3103","ENSG00000105479","ODAD1","93233",0.971725,1.029301,1.727045,5.590848
"3104","ENSG00000105483","CARD8","22900",358.19457,390.80692,239.486424,301.17496
"3105","ENSG00000105486","LIG1","3978",25.172979,21.971194,29.680795,34.24332
"3106","ENSG00000105492","SIGLEC6","946",0,0.136413,2.095355,1.613039
"3107","ENSG00000105497","ZNF175","7728",2.602058,3.704624,3.281632,2.736495
"3108","ENSG00000105499","PLA2G4C","8605",1.519091,2.573851,2.583261,5.274085
"3112","ENSG00000105514","RAB3D","9545",5.30945,4.346672,7.526799,6.796378
"3113","ENSG00000105516","DBP","1628",41.860302,32.252889,27.524981,26.85712
"3114","ENSG00000105518","TMEM205","374882",37.63487,35.983534,34.550103,51.545593
"3115","ENSG00000105519","CAPS","828",37.96597,31.079529,39.094692,38.528426
"3116","ENSG00000105520","PLPPR2","64748",7.771973,7.121383,10.600794,11.11367
"3117","ENSG00000105523","FAM83E","54854",0.257274,0.045522,0.044666,0.111641
"3118","ENSG00000105538","RASIP1","54922",0.02829,0.113452,0.072941,0
"3121","ENSG00000105552","BCAT2","587",20.125379,20.954445,19.032625,29.315385
"3122","ENSG00000105556","MIER2","54531",15.069164,16.480158,25.935229,20.814648
"3123","ENSG00000105559","PLEKHA4","57664",3.845548,1.716249,4.811187,3.143929
"3124","ENSG00000105568","PPP2R1A","5518",71.078132,86.209904,60.97433,51.688542
"3125","ENSG00000105576","TNPO2","30000",52.085164,42.484723,59.891067,53.336028
"3126","ENSG00000105583","WDR83OS","51398",105.10507,128.690261,105.133689,111.341302
"3128","ENSG00000105607","GCDH","2639",26.079287,30.862355,30.576123,41.006676
"3131","ENSG00000105612","DNASE2","1777",47.69513,46.130062,41.473001,34.85415
"3132","ENSG00000105613","MAST1","22983",2.406142,1.157612,3.092539,2.067255
"3135","ENSG00000105639","JAK3","3718",91.426518,118.434975,77.717017,81.82225
"3136","ENSG00000105640","RPL18A","6142",1548.743699,1580.202604,1383.083419,1562.610039
"3137","ENSG00000105641","SLC5A5","6528",4.369158,3.908169,7.617518,3.181218
"3138","ENSG00000105642","KCNN1","3780",0.12827,0.070664,0.21983,0.082491
"3139","ENSG00000105643","ARRDC2","27106",209.543443,156.271738,193.986107,144.120171
"3140","ENSG00000105647","PIK3R2","5296",15.241944,10.912076,15.170565,20.846771
"3141","ENSG00000105649","RAB3A","5864",3.677353,2.340932,6.432207,4.816112
"3143","ENSG00000105655","ISYNA1","51477",16.237807,8.928164,34.856859,42.239075
"3144","ENSG00000105656","ELL","8178",30.045417,34.755344,47.688638,31.286391
"3145","ENSG00000105662","CRTC1","23373",8.270825,11.135274,6.652736,9.699247
"3147","ENSG00000105668","UPK1A","11045",0.089209,0.55134,0.777905,2.723914
"3148","ENSG00000105669","COPE","11316",172.332745,237.182349,145.584739,150.076332
"3149","ENSG00000105671","DDX49","54555",27.805347,35.157633,21.866637,28.591472
"3150","ENSG00000105672","ETV2","2116",5.111869,4.672988,2.285991,4.261713
"3152","ENSG00000105676","ARMC6","93436",9.197995,13.237889,7.879562,8.276742
"3153","ENSG00000105677","TMEM147","10430",42.224055,48.716447,53.673345,59.313596
"3158","ENSG00000105697","HAMP","57817",0.549008,0.064159,0,0.270975
"3159","ENSG00000105698","USF2","7392",260.834355,332.645668,243.583821,246.471054
"3160","ENSG00000105699","LSR","51599",7.381346,4.094344,8.630167,10.351559
"3161","ENSG00000105700","KXD1","79036",107.263375,103.682564,117.219419,123.645332
"3162","ENSG00000105701","FKBP8","23770",302.885153,256.64134,328.176579,352.568987
"3163","ENSG00000105705","SUGP1","57794",62.074058,63.428978,56.29597,53.850404
"3164","ENSG00000105707","HPN","3249",0.275918,0.720133,0.238655,0.603881
"3165","ENSG00000105708","ZNF14","7561",6.732436,7.61452,11.444875,10.33575
"3166","ENSG00000105711","SCN1B","6324",1.635904,0.77688,0.836112,2.360047
"3167","ENSG00000105717","PBX4","80714",127.945943,82.719086,148.829259,104.566727
"3168","ENSG00000105722","ERF","2077",36.35301,24.2661,41.148657,66.755203
"3169","ENSG00000105723","GSK3A","2931",55.65206,57.836286,55.893909,46.255806
"3170","ENSG00000105726","ATP13A1","57130",83.800049,78.684852,69.701948,68.218729
"3171","ENSG00000105732","ZNF574","64763",10.850737,13.539045,10.91972,10.811305
"3172","ENSG00000105737","GRIK5","2901",0.133367,0,0.145882,0.212607
"3173","ENSG00000105738","SIPA1L3","23094",16.219602,8.599306,22.394999,8.719598
"3175","ENSG00000105755","ETHE1","23474",69.593388,59.764677,84.912999,52.128364
"3176","ENSG00000105767","CADM4","199731",1.032962,0.237241,4.461717,2.808497
"3177","ENSG00000105771","SMG9","56006",27.638568,42.694531,37.338879,45.962153
"3178","ENSG00000105778","AVL9","23080",17.593861,20.601171,18.132806,21.16829
"3179","ENSG00000105784","RUNDC3B","154661",0.143995,0.387144,1.264858,1.245837
"3180","ENSG00000105792","CFAP69","79846",0.345576,0.079155,1.300909,0.51222
"3183","ENSG00000105810","CDK6","1021",30.363104,22.409725,30.494386,26.460972
"3184","ENSG00000105819","PMPCB","9512",46.453772,57.462723,57.836601,49.722869
"3185","ENSG00000105821","DNAJC2","27000",24.162544,29.479297,36.157508,31.857427
"3187","ENSG00000105829","BET1","10282",23.450079,34.719782,43.314148,36.187557
"3188","ENSG00000105835","NAMPT","10135",29.88846,34.648316,54.999281,57.752187
"3189","ENSG00000105849","POLR1F","221830",4.177101,4.922344,4.886728,5.149399
"3190","ENSG00000105851","PIK3CG","5294",39.099475,31.321938,43.854905,33.071886
"3192","ENSG00000105854","PON2","5445",3.527281,4.242581,6.213687,21.146512
"3193","ENSG00000105855","ITGB8","3696",0.717731,0.673351,1.0564,1.662923
"3194","ENSG00000105856","HBP1","26959",60.435356,69.375822,88.187136,79.364162
"3195","ENSG00000105865","DUS4L","11062",6.396654,9.49831,8.494109,7.802144
"3196","ENSG00000105866","SP4","6671",28.138465,23.195129,26.597854,25.606113
"3197","ENSG00000105875","WDR91","29062",33.689063,27.729392,33.576162,29.400903
"3198","ENSG00000105877","DNAH11","8701",0.019316,0.043621,0.22883,0.350535
"3199","ENSG00000105879","CBLL1","79872",50.640435,79.406016,30.552405,36.915753
"3201","ENSG00000105887","MTPN","136319",81.754132,91.499411,98.139631,99.1377
"3204","ENSG00000105926","PALS2","51678",6.546114,4.990912,11.765226,9.445903
"3205","ENSG00000105928","GSDME","1687",2.334091,1.369287,2.41518,3.214165
"3207","ENSG00000105939","ZC3HAV1","56829",76.945614,81.781037,80.951402,60.082363
"3208","ENSG00000105948","IFT56","79989",2.012715,0.725228,1.236358,1.610491
"3209","ENSG00000105953","OGDH","4967",48.025562,62.475569,33.136221,47.330207
"3211","ENSG00000105963","ADAP1","11033",11.547304,13.3207,37.349137,38.154094
"3213","ENSG00000105968","H2AZ2","94239",200.433229,208.585278,209.521146,184.552019
"3214","ENSG00000105971","CAV2","858",1.825819,1.567463,4.255174,2.785309
"3215","ENSG00000105974","CAV1","857",4.733129,8.42858,4.670087,4.578267
"3216","ENSG00000105976","MET","4233",0.8935,0.725595,4.044597,2.548537
"3217","ENSG00000105982","RNF32","140545",4.011041,2.726517,3.904773,3.140611
"3218","ENSG00000105983","LMBR1","64327",45.507762,42.826355,55.638352,47.447482
"3221","ENSG00000105991","HOXA1","3198",0.794768,0.086377,0.597802,0.571156
"3222","ENSG00000105993","DNAJB6","10049",188.143141,192.534869,118.413647,146.666426
"3223","ENSG00000105996","HOXA2","3199",0.055396,0,0.143751,0.239547
"3224","ENSG00000105997","HOXA3","3200",0.034464,0,0.444954,0.810897
"3225","ENSG00000106003","LFNG","3955",86.504139,82.762551,60.322331,56.800682
"3228","ENSG00000106009","BRAT1","221927",34.117491,25.433784,42.271598,32.662884
"3229","ENSG00000106012","IQCE","23288",10.276241,6.351294,9.641297,7.02083
"3231","ENSG00000106018","VIPR2","7434",0.234127,0.125745,0.522575,0.348082
"3235","ENSG00000106034","CPED1","79974",0.107803,0.088405,0,0.157296
"3237","ENSG00000106049","HIBADH","11112",16.426496,16.745994,18.016791,18.108798
"3238","ENSG00000106052","TAX1BP1","8887",85.712972,100.153541,94.952393,88.414504
"3239","ENSG00000106066","CPVL","54504",0.598421,0,0.596471,5.56121
"3240","ENSG00000106069","CHN2","1124",4.673827,1.086,2.25701,3.248511
"3241","ENSG00000106070","GRB10","2887",13.358539,19.325248,22.980663,23.22825
"3242","ENSG00000106077","ABHD11","83451",13.32592,9.558081,14.390803,15.038634
"3243","ENSG00000106078","COBL","23242",0.054419,0.016777,0.329257,0
"3244","ENSG00000106080","FKBP14","55033",7.554237,6.924234,6.659715,8.403767
"3245","ENSG00000106086","PLEKHA8","84725",11.611334,5.200671,15.131648,13.642552
"3246","ENSG00000106089","STX1A","6804",52.355256,41.244314,92.969261,69.204734
"3247","ENSG00000106100","NOD1","10392",15.273099,13.248775,19.081402,15.102282
"3248","ENSG00000106105","GARS1","2617",32.5671,40.341784,41.732478,41.514221
"3251","ENSG00000106125","MINDY4","84182",0.827424,0.245324,0.066646,0.266527
"3254","ENSG00000106144","CASP2","835",49.694493,50.640289,35.280279,51.297929
"3255","ENSG00000106153","CHCHD2","51142",174.947483,224.121662,259.398112,274.897777
"3257","ENSG00000106211","HSPB1","3315",15.373778,15.73769,61.056101,32.812789
"3259","ENSG00000106244","PDAP1","11333",93.295878,105.6059,146.986166,123.237355
"3260","ENSG00000106245","BUD31","8896",74.087709,90.606372,95.751816,65.461612
"3261","ENSG00000106246","PTCD1","26024",6.323519,3.986376,5.691913,7.003655
"3262","ENSG00000106258","CYP3A5","1577",6.460218,4.433176,4.102313,6.959641
"3263","ENSG00000106261","ZKSCAN1","7586",43.390462,34.83235,50.218678,46.496138
"3264","ENSG00000106263","EIF3B","8662",84.621598,92.572553,100.033109,90.699731
"3265","ENSG00000106266","SNX8","29886",6.976209,6.380268,5.654965,8.567555
"3266","ENSG00000106268","NUDT1","4521",25.433352,37.27844,16.263459,33.512391
"3268","ENSG00000106290","TAF6","6878",56.376953,50.841459,47.803001,58.533529
"3269","ENSG00000106299","WASL","8976",4.173866,4.722489,8.49111,7.350831
"3272","ENSG00000106305","AIMP2","7965",5.328842,7.57179,5.744376,9.873235
"3273","ENSG00000106327","TFR2","7036",2.432469,4.941509,0.92742,4.87415
"3274","ENSG00000106328","FSCN3","29999",0.33621,0,0.586349,2.115546
"3275","ENSG00000106330","MOSPD3","64598",40.148889,45.940473,25.917576,32.342518
"3277","ENSG00000106333","PCOLCE","5118",41.77208,33.947355,30.626979,44.904625
"3278","ENSG00000106336","FBXO24","26261",0.895904,0.711788,0.844821,1.246946
"3280","ENSG00000106344","RBM28","55131",20.940201,18.7483,23.964811,18.646879
"3281","ENSG00000106346","USP42","84132",10.748216,9.91795,13.683569,9.86644
"3282","ENSG00000106348","IMPDH1","3614",126.409493,64.625466,96.66102,69.554143
"3283","ENSG00000106351","AGFG2","3268",59.188699,70.628118,64.121627,48.521793
"3284","ENSG00000106355","LSM5","23658",26.72319,37.451262,23.080805,35.280725
"3285","ENSG00000106366","SERPINE1","5054",0.117708,0.491759,4.401843,6.320518
"3286","ENSG00000106367","AP1S1","1174",27.87246,33.63041,44.189708,46.106061
"3287","ENSG00000106384","MOGAT3","346606",0.230622,0.121536,0.158846,0.140256
"3288","ENSG00000106392","C1GALT1","56913",41.103136,63.23058,63.095352,67.05142
"3289","ENSG00000106397","PLOD3","8985",46.36009,50.123353,56.945798,91.21244
"3290","ENSG00000106399","RPA3","6119",29.427901,31.049785,30.425915,33.31328
"3291","ENSG00000106400","ZNHIT1","10467",66.703213,73.402952,74.287586,78.144672
"3292","ENSG00000106404","CLDN15","24146",38.8668,29.409067,42.280888,39.836815
"3294","ENSG00000106415","GLCCI1","113263",75.745791,63.982977,83.808272,61.796708
"3296","ENSG00000106443","PHF14","9678",15.293628,17.965729,18.056132,13.713436
"3297","ENSG00000106459","NRF1","4899",24.267063,21.762248,20.336702,21.000149
"3298","ENSG00000106460","TMEM106B","54664",29.750381,28.772087,34.754506,36.865868
"3299","ENSG00000106462","EZH2","2146",41.969957,44.354694,51.351452,42.790315
"3300","ENSG00000106477","CEP41","95681",9.797551,6.255689,7.749122,13.128053
"3301","ENSG00000106479","ZNF862","643641",49.215401,44.690372,60.73688,47.513246
"3303","ENSG00000106484","MEST","4232",0.178347,0.423028,0.845202,2.81116
"3305","ENSG00000106524","ANKMY2","57037",19.658426,26.706617,29.893308,18.784927
"3306","ENSG00000106526","ACTR3C","653857",1.504406,5.894458,2.301114,2.351433
"3307","ENSG00000106536","POU6F2","11281",0.91451,0.959916,1.098546,0.749391
"3308","ENSG00000106537","TSPAN13","27075",0.986751,0.786106,4.461962,4.764699
"3311","ENSG00000106541","AGR2","10551",0.793873,0.904552,2.69403,3.06613
"3312","ENSG00000106546","AHR","196",15.028871,9.41554,17.793693,23.187654
"3313","ENSG00000106554","CHCHD3","54927",20.814458,25.202868,22.691073,25.557958
"3314","ENSG00000106560","GIMAP2","26157",137.928616,175.268967,195.122171,157.70849
"3317","ENSG00000106588","PSMA2","5683",66.456358,79.700763,81.567619,72.537948
"3318","ENSG00000106591","MRPL32","64983",36.951582,40.696173,46.385647,41.977317
"3319","ENSG00000106603","COA1","55744",49.382294,46.89997,99.166556,70.954998
"3320","ENSG00000106605","BLVRA","644",19.126573,19.405473,20.960021,24.338093
"3321","ENSG00000106608","URGCP","55665",13.232676,16.242091,13.800818,26.704735
"3322","ENSG00000106609","TMEM248","55069",65.971862,74.698365,90.318723,64.165187
"3324","ENSG00000106615","RHEB","6009",37.23903,53.656078,61.943394,46.666655
"3325","ENSG00000106617","PRKAG2","51422",18.348534,11.440574,19.344134,16.835851
"3326","ENSG00000106624","AEBP1","165",0.180595,0.218309,0.484389,2.516682
"3327","ENSG00000106628","POLD2","5425",21.501755,16.99169,26.28263,31.282922
"3330","ENSG00000106635","BCL7B","9275",52.075018,58.025779,38.848891,43.271023
"3331","ENSG00000106636","YKT6","10652",57.02879,72.801048,63.161849,65.152685
"3332","ENSG00000106638","TBL2","26608",26.028455,26.612834,26.329438,26.185907
"3334","ENSG00000106665","CLIP2","7461",4.073713,1.53995,4.935227,5.696644
"3335","ENSG00000106682","EIF4H","7458",169.813876,171.364152,182.635346,181.146833
"3336","ENSG00000106683","LIMK1","3984",46.789443,42.088262,46.711442,32.008791
"3337","ENSG00000106686","SPATA6L","55064",3.880399,1.191125,1.586661,2.12083
"3338","ENSG00000106688","SLC1A1","6505",1.657797,0.481898,0.192541,1.122363
"3340","ENSG00000106692","FKTN","2218",12.7716,5.674551,10.146645,9.801083
"3341","ENSG00000106701","FSD1L","83856",3.139458,2.055902,4.106341,6.852228
"3343","ENSG00000106723","SPIN1","10927",37.823044,32.674985,35.735732,37.995555
"3344","ENSG00000106733","NMRK1","54981",161.682823,130.774937,158.212574,101.958199
"3345","ENSG00000106771","TMEM245","23731",30.847829,37.923376,49.821948,40.086992
"3346","ENSG00000106772","PRUNE2","158471",0.248903,0.062237,0.020601,0.22305
"3347","ENSG00000106780","MEGF9","1955",14.22136,17.695521,23.287282,19.862669
"3348","ENSG00000106785","TRIM14","9830",48.210153,63.216942,61.292031,47.683769
"3349","ENSG00000106789","CORO2A","7464",9.5433,6.636516,9.127746,9.563427
"3350","ENSG00000106799","TGFBR1","7046",33.298671,22.742087,31.022987,44.054127
"3351","ENSG00000106803","SEC61B","10952",242.629782,361.266456,359.342758,312.816446
"3352","ENSG00000106804","C5","727",2.307605,4.362057,1.821013,2.421644
"3353","ENSG00000106809","OGN","4969",0.485988,0.244335,0.268919,0.921385
"3356","ENSG00000106829","TLE4","7091",34.997686,33.451653,40.338561,27.781309
"3358","ENSG00000106853","PTGR1","22949",2.205687,2.314827,19.364975,10.730537
"3359","ENSG00000106868","SUSD1","64420",5.428314,11.487521,5.026747,3.007226
"3361","ENSG00000106948","AKNA","80709",519.701764,397.373891,251.537478,350.576931
"3362","ENSG00000106952","TNFSF8","944",81.192207,62.654225,58.227774,80.600895
"3363","ENSG00000106976","DNM1","1759",2.201759,1.094346,10.378204,7.883608
