"","Gene","SYMBOL","ENTREZID","KKU213c","KKU213c_V1","KKU213c_V2"
"17112","ENSG00000197540","GZMM","3004",0,0.266684,0.212421
"17113","ENSG00000197548","ATG7","10533",27.541286,37.283607,32.186553
"17116","ENSG00000197555","SIPA1L1","26037",22.151287,16.479662,19.899486
"17117","ENSG00000197557","IFT70A","92104",0.39415,1.095635,1.286092
"17118","ENSG00000197558","SSPOP","23145",0.414264,0.557351,0
"17119","ENSG00000197562","RAB40C","57799",8.629871,7.170061,8.257422
"17120","ENSG00000197563","PIGN","23556",42.10291,52.275201,55.338292
"17121","ENSG00000197565","COL4A6","1288",22.656063,21.20767,23.9975
"17122","ENSG00000197566","ZNF624","57547",0.82379,0.968987,0.697021
"17123","ENSG00000197568","ANKRD13C-DT","11147",7.617609,6.63555,9.065119
"17126","ENSG00000197579","TOPORS","10210",8.995214,7.500288,7.623232
"17127","ENSG00000197580","BCO2","83875",0.54733,0.999932,2.07457
"17130","ENSG00000197586","ENTPD6","955",54.796195,46.538451,53.553634
"17131","ENSG00000197587","DMBX1","127343",0.046537,0.087987,0.130607
"17134","ENSG00000197594","ENPP1","5167",2.090219,1.917148,2.253335
"17135","ENSG00000197599","CCDC154","645811",0.031017,0.079676,0.33012
"17136","ENSG00000197601","FAR1","84188",102.575231,101.975414,108.159065
"17137","ENSG00000197603","CPLANE1","65250",14.898536,4.607361,5.297598
"17138","ENSG00000197608","ZNF841","284371",7.36531,8.459317,9.726809
"17139","ENSG00000197614","MFAP5","8076",9.032778,2.73436,6.233265
"17142","ENSG00000197619","ZNF615","284370",1.272733,1.774539,1.875175
"17143","ENSG00000197620","EOLA1","91966",11.613337,14.627248,15.735034
"17144","ENSG00000197622","CDC42SE1","56882",61.52847,56.305774,56.143413
"17147","ENSG00000197632","SERPINB2","5055",1504.373366,2443.299394,2678.884543
"17148","ENSG00000197635","DPP4","1803",1.625922,2.116679,2.664192
"17149","ENSG00000197641","SERPINB13","5275",0.665825,2.977976,4.104811
"17150","ENSG00000197646","PDCD1LG2","80380",0.892039,0.565877,0.738551
"17151","ENSG00000197647","ZNF433","163059",0.571448,1.451728,2.605161
"17158","ENSG00000197694","SPTAN1","6709",86.697237,77.3426,82.603045
"17159","ENSG00000197696","NMB","4828",12.497488,10.715119,11.128139
"17160","ENSG00000197702","PARVA","55742",31.257145,13.407225,15.138477
"17163","ENSG00000197712","FAM114A1","92689",14.222863,18.105702,24.615921
"17164","ENSG00000197713","RPE","6120",44.312981,52.206075,59.503217
"17165","ENSG00000197714","ZNF460","10794",1.787016,2.534443,1.836076
"17167","ENSG00000197724","PHF2","5253",11.65389,4.613661,5.41315
"17168","ENSG00000197728","RPS26","6231",782.513108,868.842284,946.162613
"17172","ENSG00000197746","PSAP","5660",588.953718,864.007066,1002.870659
"17173","ENSG00000197747","S100A10","6281",1272.259865,1042.816568,1130.464295
"17174","ENSG00000197748","CFAP43","80217",0,0.087652,0.212184
"17175","ENSG00000197753","LHFPL5","222662",0.102407,0.232691,0.602614
"17176","ENSG00000197756","RPL37A","6168",2324.010851,2328.113331,2460.26685
"17177","ENSG00000197757","HOXC6","3223",2.424676,1.502523,1.290757
"17178","ENSG00000197763","TXNRD3","114112",10.09889,5.379856,3.295874
"17179","ENSG00000197768","STPG3","441476",0.087043,0,0.064109
"17180","ENSG00000197769","MAP1LC3C","440738",0.260923,0.403108,0.248568
"17181","ENSG00000197771","MCMBP","79892",51.575837,28.280698,28.755671
"17182","ENSG00000197774","EME2","197342",7.606626,6.214439,4.806384
"17184","ENSG00000197779","ZNF81","347344",5.693656,5.631345,7.036402
"17185","ENSG00000197780","TAF13","6884",77.516204,82.972775,100.245277
"17186","ENSG00000197782","ZNF780A","284323",13.132518,10.348857,13.102339
"17187","ENSG00000197785","ATAD3A","55210",78.563286,49.444818,50.462046
"17191","ENSG00000197798","FAM118B","79607",11.424681,10.421262,12.212109
"17192","ENSG00000197808","ZNF461","92283",1.117212,3.95344,4.241129
"17193","ENSG00000197816","CCDC180","100499483",0.182025,0.252739,0.272644
"17194","ENSG00000197818","SLC9A8","23315",8.734476,7.386136,7.857979
"17196","ENSG00000197826","CFAP299","255119",0,0.071318,0.092741
"17197","ENSG00000197837","H4C16","121504",0.939591,0.386875,0.57073
"17199","ENSG00000197841","ZNF181","339318",2.526457,3.032478,2.418573
"17200","ENSG00000197847","SLC22A20P","440044",8.856169,7.348736,6.578244
"17202","ENSG00000197852","INKA2","55924",0.732007,0.953383,2.035533
"17203","ENSG00000197857","ZNF44","51710",2.951417,5.782441,4.481584
"17204","ENSG00000197858","GPAA1","8733",52.720757,64.047639,66.555155
"17205","ENSG00000197859","ADAMTSL2","9719",0.031893,0,0.012856
"17206","ENSG00000197860","SGTB","54557",4.467549,4.435399,6.184179
"17207","ENSG00000197863","ZNF790","388536",0.607239,0.789454,2.858196
"17210","ENSG00000197872","CYRIA","81553",0.648054,1.801981,1.690116
"17211","ENSG00000197879","MYO1C","4641",75.431199,66.13944,68.860427
"17213","ENSG00000197885","NKIRAS1","28512",7.570838,13.099557,15.441857
"17216","ENSG00000197889","MEIG1","644890",0.609297,0.154116,0.164157
"17218","ENSG00000197892","KIF13B","23303",2.882569,3.891961,4.300353
"17220","ENSG00000197894","ADH5","128",72.204584,46.861922,55.320246
"17222","ENSG00000197903","H2BC12","85236",95.103876,87.418119,99.855427
"17223","ENSG00000197905","TEAD4","7004",53.849343,36.657263,38.471532
"17225","ENSG00000197915","HRNR","388697",0,0.004912,0.005206
"17228","ENSG00000197927","NBEAP2","100418881",0.505555,0.787313,1.187605
"17230","ENSG00000197930","ERO1A","30001",139.481443,120.221084,131.139797
"17231","ENSG00000197933","ZNF823","55552",6.021427,4.31195,3.347052
"17232","ENSG00000197937","ZNF347","84671",3.214515,2.752993,4.410884
"17234","ENSG00000197943","PLCG2","5336",6.079739,3.079303,5.108828
"17235","ENSG00000197948","FCHSD1","89848",11.24138,16.668665,14.65395
"17236","ENSG00000197951","ZNF71","58491",2.340898,1.788579,1.585204
"17238","ENSG00000197956","S100A6","6277",1682.622755,2126.134437,2468.46923
"17239","ENSG00000197958","RPL12","6136",2836.530148,2517.874907,2785.51895
"17240","ENSG00000197959","DNM3","26052",3.831135,3.815229,4.637081
"17241","ENSG00000197961","ZNF121","7675",12.750885,14.106172,15.340384
"17242","ENSG00000197965","MPZL1","9019",91.786744,122.397236,120.784756
"17243","ENSG00000197969","VPS13A","23230",20.749325,17.008414,17.044345
"17244","ENSG00000197971","MBP","4155",29.441374,30.527699,27.932605
"17245","ENSG00000197976","AKAP17A","8227",15.894937,12.867939,15.208177
"17246","ENSG00000197977","ELOVL2","54898",0,0.024573,0.104199
"17248","ENSG00000197980","LEKR1","389170",0.432266,0.708129,1.832484
"17249","ENSG00000197982","C1orf122","127687",55.348847,27.583254,29.077138
"17255","ENSG00000198000","NOL8","55035",49.871928,35.350692,35.213207
"17256","ENSG00000198001","IRAK4","51135",12.786389,13.448395,15.128022
"17257","ENSG00000198003","ODAD3","115948",0.844068,2.068373,1.138835
"17259","ENSG00000198015","MRPL42","28977",67.893428,48.126761,53.767124
"17260","ENSG00000198018","ENTPD7","57089",12.091256,11.272063,11.05234
"17262","ENSG00000198021","SPANXA1","30014",1.647594,1.250965,1.441103
"17264","ENSG00000198026","ZNF335","63925",13.393297,11.301778,11.597291
"17265","ENSG00000198028","ZNF560","147741",0.454631,0.651057,0.852772
"17266","ENSG00000198033","TUBA3C","7278",13.745906,17.333853,17.751795
"17267","ENSG00000198034","RPS4X","6191",1111.299857,1018.635855,1121.294163
"17268","ENSG00000198039","ZNF273","10793",1.010385,0.798478,1.227566
"17269","ENSG00000198040","ZNF84","7637",7.887564,19.958312,15.374021
"17270","ENSG00000198042","MAK16","84549",17.83326,14.733572,15.603334
"17271","ENSG00000198046","ZNF667","63934",0.012178,0.250405,0.161829
"17273","ENSG00000198053","SIRPA","140885",1.250385,1.362921,0.971509
"17274","ENSG00000198055","GRK6","2870",65.746455,60.732954,72.145644
"17275","ENSG00000198056","PRIM1","5557",32.998991,22.270819,25.247543
