"","Gene","SYMBOL","ENTREZID","KKU055","KKU055_V1","KKU055_V2"
"10916","ENSG00000163412","EIF4E3","317649",3.223745,5.27906,5.648401
"10919","ENSG00000163428","LRRC58","116064",22.216889,28.080533,27.700275
"10920","ENSG00000163430","FSTL1","11167",670.800229,591.812463,595.581594
"10921","ENSG00000163431","LMOD1","25802",0.090577,0.216443,0.349911
"10922","ENSG00000163435","ELF3","1999",5.129352,7.406099,8.916705
"10924","ENSG00000163444","TMEM183A","92703",54.745427,52.285204,48.002596
"10925","ENSG00000163449","TMEM169","92691",0.25173,0.720002,0.649225
"10926","ENSG00000163453","IGFBP7","3490",0.858857,1.433273,1.011971
"10927","ENSG00000163462","TRIM46","80128",2.02459,6.858086,6.277495
"10928","ENSG00000163463","KRTCAP2","200185",177.338415,189.331565,193.345232
"10930","ENSG00000163466","ARPC2","10109",256.808045,268.748981,276.246763
"10931","ENSG00000163467","TSACC","128229",4.64702,2.365483,1.622734
"10932","ENSG00000163468","CCT3","7203",494.61995,451.562676,427.105673
"10933","ENSG00000163472","TMEM79","84283",5.532029,5.917659,6.321307
"10934","ENSG00000163479","SSR2","6746",306.956476,349.585976,339.653583
"10935","ENSG00000163481","RNF25","64320",31.359407,34.171738,35.629221
"10936","ENSG00000163482","STK36","27148",21.74413,30.091616,21.93625
"10937","ENSG00000163485","ADORA1","134",38.658116,24.593826,25.755042
"10938","ENSG00000163491","NEK10","152110",1.140855,2.569965,2.443375
"10940","ENSG00000163497","FEV","54738",0.165477,0.697676,0.332782
"10941","ENSG00000163499","CRYBA2","1412",4.608566,7.923856,5.237453
"10943","ENSG00000163507","CIP2A","57650",30.412265,28.092884,30.078852
"10944","ENSG00000163508","EOMES","8320",87.248956,133.524643,128.930687
"10945","ENSG00000163510","CWC22","57703",16.321057,14.38331,13.742602
"10946","ENSG00000163512","AZI2","64343",68.782505,71.874156,85.508557
"10947","ENSG00000163513","TGFBR2","7048",4.203866,7.257831,6.923015
"10949","ENSG00000163516","ANKZF1","55139",11.859482,15.204075,13.432032
"10950","ENSG00000163517","HDAC11","79885",4.725839,15.670333,9.913543
"10954","ENSG00000163521","GLB1L","79411",2.930697,7.806879,3.782649
"10955","ENSG00000163527","STT3B","201595",95.359153,103.14022,105.193876
